,Nome,CGC,Endereco
132,"IBIRITE, MG",1486-9,"rua helena antipoff num 505 - vila nova esperanca - 4a secao 32400403 - ibirite, mg tel: (31) 4003-1043 ag. numero: 1486-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
133,"IGARAPE, MG",3654-4,"avenida berenice magalhaes pinto num 239 - centro 329000 - igarape, mg tel: (31) 4003-1043 ag. numero: 3654-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
134,"INHAPIM, MG",1491-5,"rua alberto azevedo num 282 - centro 353300 - inhapim, mg tel: (33) 4003-1043 ag. numero: 1491-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
135,"CIDADE NOBRE, MG",3148-8,"avenida carlos chagas num 814 - cidade nobre 35162359 - ipatinga, mg tel: (31) 4003-1043 ag. numero: 3148-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
136,"HORTO DE IPATINGA, MG",0118-0,"rua jacaranda num 499 - horto 35160304 - ipatinga, mg tel: (31) 4003-1043 ag. numero: 0118-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
137,"IPATINGA, MG",2332-9,"rua diamantina num 175 - centro 3516019 - ipatinga, mg tel: (31) 4003-1043 ag. numero: 2332-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
138,"ITABIRA, MG",0119-8,"avenida daniel jardim de grisolia num 117 - centro 359001 - itabira, mg tel: (31) 4003-1043 ag. numero: 0119-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
139,"ITABIRITO, MG",0120-1,"avenida queiroz junior num 620 - centro 3545069 - itabirito, mg tel: (31) 4003-1043 ag. numero: 0120-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
140,"ITAJUBA, MG",0121-0,"rua antonio simao mauad num 89 - centro 37500180 - itajuba, mg tel: (35) 4003-1043 ag. numero: 0121-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
141,"ITAMARANDIBA, MG",3846-6,"rua travessa tiradentes num 49 - centro 396700 - itamarandiba, mg tel: (38) 4003-1043 ag. numero: 3846-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
142,"ITAMONTE, MG",3350-2,"rua presidente vargas num 116 - centro 374660 - itamonte, mg tel: (35) 4003-1043 ag. numero: 3350-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
143,"ITANHANDU, MG",0122-8,"rua dr. olavo gomes pinto num 119 - centro 374640 - itanhandu, mg tel: (35) 4003-1043 ag. numero: 0122-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
144,"ITAPAGIPE, MG",4279-0,"avenida sete num 487 - centro 382400 - itapagipe, mg tel: (34) 4003-1043 ag. numero: 4279-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
145,"ITAPECERICA, MG",0123-6,"praca alexandre szundy num 15 - centro 355500 - itapecerica, mg tel: (37) 4003-1043 ag. numero: 0123-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
146,"ITATIAIUCU, MG",4388-5,"rua levi nogueira num 175 - centro 356850 - itatiaiucu, mg tel: (31) 4003-1043 ag. numero: 4388-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
147,"ITAU DE MINAS, MG",2737-5,"rua joao kirchner num 553 - centro 379750 - itau de minas, mg tel: (35) 4003-1043 ag. numero: 2737-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
148,"ITAUNA, MG",0124-4,"praca doutor augusto goncalves num 506 - centro 3568054 - itauna, mg tel: (37) 4003-1043 ag. numero: 0124-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
149,"ITUIUTABA, MG",0125-2,"rua vinte e dois num 537 - centro 3830076 - ituiutaba, mg tel: (34) 4003-1043 ag. numero: 0125-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
150,"ITURAMA, MG",0936-9,"avenida rio grande num 1235 - centro 382800 - iturama, mg tel: (34) 4003-1043 ag. numero: 0936-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
151,"JACUTINGA, MG",1064-2,"rua americo prado num 814 - centro 375900 - jacutinga, mg tel: (35) 4003-1043 ag. numero: 1064-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
152,"JANAUBA, MG",0937-7,"avenida do comercio num 411 - centro 3944216 - janauba, mg tel: (38) 4003-1043 ag. numero: 0937-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
153,"JANUARIA, MG",0771-4,"praca tiradentes num 177 - centro 394800 - januaria, mg tel: (38) 4003-1043 ag. numero: 0771-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
154,"JEQUITINHONHA, MG",4536-5,"rua coronel ramiro num 309 - centro 399600 - jequitinhonha, mg tel: (33) 4003-1043 ag. numero: 4536-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
155,"JOAO MONLEVADE, MG",0607-6,"avenida getulio vargas num 5375 - carneirinhos 359303 - joao monlevade, mg tel: (31) 4003-1043 ag. numero: 0607-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
156,"JOAO PINHEIRO, MG",1818-0,"praca coronel hermogenes num 301 - centro 387700 - joao pinheiro, mg tel: (38) 4003-1043 ag. numero: 1818-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
157,"JUATUBA, MG",3550-5,"avenida tanus saliba num 32 - centro 356750 - juatuba, mg tel: (31) 4003-1043 ag. numero: 3550-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
158,"HALFELD, MG",2519-4,"avenida getulio vargas num 362 - centro 36010110 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 2519-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
159,"JUIZ DE FORA, MG",3065-1,"rua santa rita num 327 - centro 3601071 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 3065-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
160,"MANCHESTER, MG",0126-0,"avenida barao do rio branco num 2340 - centro 36016310 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 0126-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
161,"MANOEL HONORIO, MG",1536-9,"rua eugenio fontainha num 25 - manoel honorio 360510 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 1536-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
162,"MARIANO PROCOPIO, MG",2419-8,"avenida dos andradas num 525 - centro 360360 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 2419-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
163,"OSCAR VIDAL, MG",3029-5,"rua oscar vidal num 121/123 - centro 3601060 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 3029-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
164,"PADRE CAFE, MG",1641-1,"rua padre cafe num 449 - sao mateus 36016450 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 1641-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
165,"PARAIBUNA, MG",3398-7,"rua marilia num 297 - benfica 36090330 - juiz de fora, mg tel: (32) 4003-1043 ag. numero: 3398-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
166,"LAGOA DA PRATA, MG",1382-0,"avenida benedito valadares num 922 - centro 355900 - lagoa da prata, mg tel: (37) 4003-1043 ag. numero: 1382-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
167,"LAGOA SANTA, MG",1460-5,"rua marechal deodoro da fonseca num 27 - centro 3323040 - lagoa santa, mg tel: (31) 4003-1043 ag. numero: 1460-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
168,"LAMBARI, MG",0128-7,"rua dr. wadih bacha num 150 - centro 374800 - lambari, mg tel: (35) 4003-1043 ag. numero: 0128-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
169,"LAVRAS, MG",0129-5,"praca doutor augusto silva num 80 - centro 37200154 - lavras, mg tel: (35) 4003-1043 ag. numero: 0129-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
170,"LEOPOLDINA, MG",0608-4,"praca general osorio num 15 - centro 3670076 - leopoldina, mg tel: (32) 4003-1043 ag. numero: 0608-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
171,"LIMA DUARTE, MG",3798-2,"rua tancredo alves num s/n - centro 361400 - lima duarte, mg tel: (32) 4003-1043 ag. numero: 3798-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
172,"LUZ, MG",1747-7,"rua cel. jose tomaz num 530 - centro 355950 - luz, mg tel: (37) 4003-1043 ag. numero: 1747-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
173,"MACHADO, MG",0691-2,"praca antonio carlos num 228 - centro 377500 - machado, mg tel: (35) 4003-1043 ag. numero: 0691-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
174,"MANHUACU, MG",0131-7,"praca cordovil pinto coelho num 484 - centro 36900103 - manhuacu, mg tel: (33) 4003-1043 ag. numero: 0131-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
175,"MANHUMIRIM, MG",0895-8,"avenida raul soares num 279 - centro 369700 - manhumirim, mg tel: (33) 4003-1043 ag. numero: 0895-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
176,"MANTENA, MG",0896-6,"avenida getulio vargas num 210 - centro 352900 - mantena, mg tel: (33) 4003-1043 ag. numero: 0896-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
177,"MARIA DA FE, MG",1687-0,"avenida luiz correa cardoso num 81 - centro 375170 - maria da fe, mg tel: (35) 4003-1043 ag. numero: 1687-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
178,"MARIANA, MG",1701-9,"avenida salvador furtado num 13 - centro 3542045 - mariana, mg tel: (31) 4003-1043 ag. numero: 1701-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
179,"MARTINHO CAMPOS, MG",3816-4,"rua padre marinho num 823 - centro 356060 - martinho campos, mg tel: (37) 4003-1043 ag. numero: 3816-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
180,"MATEUS LEME, MG",1698-5,"avenida getulio vargas num 367 - centro 356700 - mateus leme, mg tel: (31) 4003-1043 ag. numero: 1698-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
181,"MATIAS BARBOSA, MG",4383-4,"avenida cardoso saraiva num 366 - centro 361200 - matias barbosa, mg tel: (32) 4003-1043 ag. numero: 4383-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
182,"MATIPO, MG",4391-5,"rua joao moreira num 37 - centro 353670 - matipo, mg tel: (31) 4003-1043 ag. numero: 4391-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
183,"MATOZINHOS, MG",1436-2,"praca bom jesus num 66 - centro 357200 - matozinhos, mg tel: (31) 4003-1043 ag. numero: 1436-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
184,"MEDINA, MG",1740-0,"rua francisco neiva num 26 - centro 396200 - medina, mg tel: (33) 4003-1043 ag. numero: 1740-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
185,"MONSENHOR PAULO, MG",3583-1,"rua italo totti num 154 - centro 374050 - monsenhor paulo, mg tel: (35) 4003-1043 ag. numero: 3583-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
186,"MONTE ALEGRE DE MINAS, MG",1121-5,"avenida dezesseis de setembro num 352 - centro 384750 - monte alegre de minas, mg tel: (34) 4003-1043 ag. numero: 1121-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
187,"MONTE CARMELO, MG",0709-9,"rua castro alves num 40 - centro 385000 - monte carmelo, mg tel: (34) 4003-1043 ag. numero: 0709-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
188,"MONTE SANTO DE MINAS, MG",0938-5,"avenida cel antonio paulino da costa num 157 - centro 379680 - monte santo de minas, mg tel: (35) 4003-1043 ag. numero: 0938-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
189,"MONTE SIAO, MG",1688-8,"rua getulio vargas num 83 - centro 375800 - monte siao, mg tel: (35) 4003-1043 ag. numero: 1688-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
190,"MONTES CLAROS, MG",0132-5,"rua doutor santos num 103 - centro 394001 - montes claros, mg tel: (38) 4003-1043 ag. numero: 0132-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
191,"SHOPPING MONTES CLAROS, MG",3115-1,"avenida donato quintino num 90 - cidade nova 39400546 - montes claros, mg tel: (38) 4003-1043 ag. numero: 3115-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
192,"VEREDAS, MG",3044-9,"avenida deputado esteves rodrigues num 802 - centro 39400215 - montes claros, mg tel: (38) 4003-1043 ag. numero: 3044-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
193,"MURIAE, MG",0133-3,"rua barao do monte alto num 30 - centro 3688018 - muriae, mg tel: (32) 4003-1043 ag. numero: 0133-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
194,"MUZAMBINHO, MG",1093-6,"avenida dr. americo luz num 382 - centro 378900 - muzambinho, mg tel: (35) 4003-1043 ag. numero: 1093-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
195,"NANUQUE, MG",0939-3,"avenida geraldo romano num 18 - centro 398600 - nanuque, mg tel: (33) 4003-1043 ag. numero: 0939-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
196,"NEPOMUCENO, MG",3526-2,"rua carolina soares num 10 - centro 372500 - nepomuceno, mg tel: (35) 4003-1043 ag. numero: 3526-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
197,"NOVA ERA, MG",1461-3,"rua governador valadares num 575 - centro 359200 - nova era, mg tel: (31) 4003-1043 ag. numero: 1461-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
198,"JARDIM CANADA, MG",4385-0,"rua kremilin num 98 - jardim canada 34007672 - nova lima, mg tel: (31) 4003-1043 ag. numero: 4385-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
199,"NOVA LIMA, MG",0134-1,"praca do mineiro jose gomes pimenta num 14 - centro 3400087 - nova lima, mg tel: (31) 4003-1043 ag. numero: 0134-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
200,"NOVA PONTE, MG",4345-1,"rua ordalia carneiro num 234 - centro 381600 - nova ponte, mg tel: (34) 4003-1043 ag. numero: 4345-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
201,"NOVA SERRANA, MG",2257-8,"avenida dom cabral num 115 - jardim do lago 355228 - nova serrana, mg tel: (37) 4003-1043 ag. numero: 2257-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
202,"OLIVEIRA, MG",0135-0,"praca xv de novembro num 58 - centro 355400 - oliveira, mg tel: (37) 4003-1043 ag. numero: 0135-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
203,"OURO BRANCO, MG",1065-0,"rua santo antonio num 798 - centro 364908 - ouro branco, mg tel: (31) 4003-1043 ag. numero: 1065-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
204,"OURO FINO, MG",0700-5,"rua treze de maio num 737 - centro 375700 - ouro fino, mg tel: (35) 4003-1043 ag. numero: 0700-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
205,"OURO PRETO, MG",0136-8,"rua sao jose num 128 - centro 354000 - ouro preto, mg tel: (31) 4003-1043 ag. numero: 0136-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
206,"PAPAGAIOS, MG",0660-2,"praca padre waldemar num 140 - centro 356690 - papagaios, mg tel: (37) 4003-1043 ag. numero: 0660-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
207,"PARA DE MINAS, MG",0137-6,"rua benedito valadares num 30 - centro 35660630 - para de minas, mg tel: (37) 4003-1043 ag. numero: 0137-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
208,"PARACATU, MG",0138-4,"praca firmina santana num 291 - centro 38600196 - paracatu, mg tel: (38) 4003-1043 ag. numero: 0138-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
209,"PARAGUACU, MG",0139-2,"praca oswaldo costa num 109 - centro 371200 - paraguacu, mg tel: (35) 4003-1043 ag. numero: 0139-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
210,"PARAISOPOLIS, MG",1699-3,"rua bueno de paiva num 408 - centro 376600 - paraisopolis, mg tel: (35) 4003-1043 ag. numero: 1699-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
211,"PASSA QUATRO, MG",0140-6,"avenida cel ribeiro pereira num 468 - centro 374600 - passa quatro, mg tel: (35) 4003-1043 ag. numero: 0140-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
212,"PASSOS, MG",0141-4,"avenida arouca num 600 - centro 37900152 - passos, mg tel: (35) 4003-1043 ag. numero: 0141-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
213,"CAPITAL DO MILHO, MG",3540-8,"rua jose dos reis num 55 - centro 38700180 - patos de minas, mg tel: (34) 4003-1043 ag. numero: 3540-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
214,"PATOS DE MINAS, MG",0142-2,"rua olegario maciel num 92 - centro 38700122 - patos de minas, mg tel: (34) 4003-1043 ag. numero: 0142-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
215,"PATROCINIO, MG",0143-0,"avenida rui barbosa num 305 - centro 3874036 - patrocinio, mg tel: (34) 4003-1043 ag. numero: 0143-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
216,"PEDRO LEOPOLDO, MG",0144-9,"rua comendador antonio alves num 850 - centro 3325033 - pedro leopoldo, mg tel: (31) 4003-1043 ag. numero: 0144-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
217,"PERDOES, MG",1443-5,"rua governador valadares num 309 - centro 372600 - perdoes, mg tel: (35) 4003-1043 ag. numero: 1443-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
218,"PIRAPETINGA, MG",1487-7,"praca major manoel da costa num 40 - centro 367300 - pirapetinga, mg tel: (32) 4003-1043 ag. numero: 1487-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
219,"PIRAPORA, MG",0609-2,"rua francisco mota num 180 - santos dumont 39274150 - pirapora, mg tel: (38) 4003-1043 ag. numero: 0609-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
220,"PITANGUI, MG",1700-0,"rua do pilar num 118 - centro 356500 - pitangui, mg tel: (37) 4003-1043 ag. numero: 1700-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
221,"PIUMHI, MG",1425-7,"rua padre abel num 414 - centro 379250 - piumhi, mg tel: (37) 4003-1043 ag. numero: 1425-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
222,"POCOS DE CALDAS, MG",0145-7,"rua sao paulo num 100 - centro 3770112 - pocos de caldas, mg tel: (35) 4003-1043 ag. numero: 0145-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
223,"SUL DAS GERAES, MG",3043-0,"rua alagoas num 55 - centro 3770134 - pocos de caldas, mg tel: (35) 4003-1043 ag. numero: 3043-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
224,"POMPEU, MG",1426-5,"praca levi campos num 144 - centro 356400 - pompeu, mg tel: (37) 4003-1043 ag. numero: 1426-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
225,"PONTE NOVA, MG",0146-5,"rua benedito valadares num 195 - centro 3543012 - ponte nova, mg tel: (31) 4003-1043 ag. numero: 0146-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
226,"BAIRRO FOCH, MG",4537-3,"avenida prefeito olavo gomes de oliveira num 2345 - sao carlos 375570 - pouso alegre, mg tel: (35) 4003-1043 ag. numero: 4537-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
227,"POUSO ALEGRE, MG",0147-3,"praca senador eduardo amaral num 64 - centro 37550157 - pouso alegre, mg tel: (35) 4003-1043 ag. numero: 0147-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
228,"PRATA, MG",1235-1,"praca xv de novembro num 167 - centro 381400 - prata, mg tel: (34) 4003-1043 ag. numero: 1235-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
229,"PRATAPOLIS, MG",1748-5,"rua arthur bernardes num 527 - centro 379700 - pratapolis, mg tel: (35) 4003-1043 ag. numero: 1748-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
230,"RAUL SOARES, MG",0710-2,"rua prefeito wilson damiao num 120 - centro 353500 - raul soares, mg tel: (33) 4003-1043 ag. numero: 0710-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
231,"JUSTINOPOLIS, MG",4980-8,"avenida denise cristina rocha num 857 - guadalajara (justinopolis) 339001 - ribeirao das neves, mg tel: (31) 4003-1043 ag. numero: 4980-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
232,"RIBEIRAO DAS NEVES, MG",3615-3,"rua ari teixeira da costa num 590 - centro 3380520 - ribeirao das neves, mg tel: (31) 4003-1043 ag. numero: 3615-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
233,"RIO CASCA, MG",1474-5,"rua dr. joao pinheiro num 281 - das gracas 353700 - rio casca, mg tel: (31) 4003-1043 ag. numero: 1474-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
234,"RIO PARANAIBA, MG",4382-6,"rua capital franklin de castro num 925 - centro 388100 - rio paranaiba, mg tel: (34) 4003-1043 ag. numero: 4382-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
235,"RIO POMBA, MG",1123-1,"avenida raul soares num 32 - centro 361800 - rio pomba, mg tel: (32) 4003-1043 ag. numero: 1123-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
236,"SABARA, MG",1742-6,"rua borba gato num 45 - centro 34505830 - sabara, mg tel: (31) 4003-1043 ag. numero: 1742-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
237,"SACRAMENTO, MG",0940-7,"avenida benedito valadares num 104 - centro 381900 - sacramento, mg tel: (34) 4003-1043 ag. numero: 0940-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
238,"SALINAS, MG",1830-9,"rua raul soares num 80 - centro 395600 - salinas, mg tel: (38) 4003-1043 ag. numero: 1830-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
239,"SALTO DA DIVISA, MG",1745-0,"rua direita num 68 - centro 399250 - salto da divisa, mg tel: (33) 4003-1043 ag. numero: 1745-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
240,"SANTA BARBARA, MG",1475-3,"rua joao mota num 336 - centro 359600 - santa barbara, mg tel: (31) 4003-1043 ag. numero: 1475-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
241,"BARONESA, MG",3663-3,"avenida brasilia num 1660 - sao benedito 33105516 - santa luzia, mg tel: (31) 4003-1043 ag. numero: 3663-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
242,"SANTA LUZIA, MG",1066-9,"rua do carmo num 460 - centro 33010200 - santa luzia, mg tel: (31) 4003-1043 ag. numero: 1066-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
243,"SANTA RITA DO SAPUCAI, MG",0941-5,"praca santa rita num 210 - centro 375400 - santa rita do sapucai, mg tel: (35) 4003-1043 ag. numero: 0941-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
244,"SANTA VITORIA, MG",1124-0,"avenida reinaldo f. moraes num 1151 - centro 383200 - santa vitoria, mg tel: (34) 4003-1043 ag. numero: 1124-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
245,"SANTANA DO JACARE, MG",0148-1,"praca joao alves duca num 186 - centro 372780 - santana do jacare, mg tel: (35) 4003-1043 ag. numero: 0148-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
246,"SANTO ANTONIO DO MONTE, MG",2743-0,"praca monsenhor otaviano num 42 - centro 355600 - santo antonio do monte, mg tel: (37) 4003-1043 ag. numero: 2743-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
247,"SANTOS DUMONT, MG",0149-0,"avenida presidente getulio vargas num 209 - centro 3624075 - santos dumont, mg tel: (32) 4003-1043 ag. numero: 0149-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
248,"SAO FRANCISCO DAS PEDRAS, MG",3376-6,"avenida oscar caetano num 1279 - centro 393000 - sao francisco, mg tel: (38) 4003-1043 ag. numero: 3376-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
249,"SAO GONCALO DO RIO ABAIXO, MG",3377-4,"avenida central num 389 - centro 359350 - sao goncalo do rio abaixo, mg tel: (31) 4003-1043 ag. numero: 3377-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
250,"SAO GONCALO DO SAPUCAI, MG",0150-3,"rua dr. fernando lemos num 11 - centro 374900 - sao goncalo do sapucai, mg tel: (35) 4003-1043 ag. numero: 0150-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
251,"SAO GOTARDO, MG",1820-1,"rua joao alves franco num 30 - centro 388000 - sao gotardo, mg ag. numero: 1820-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
252,"SAO JOAO DEL REI, MG",0151-1,"rua quintino bocaiuva num 126 - centro 36307302 - sao joao del rei, mg tel: (32) 4003-1043 ag. numero: 0151-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
253,"SAO JOAO NEPOMUCENO, MG",1067-7,"rua duque de caxias num 150 - centro 366800 - sao joao nepomuceno, mg tel: (32) 4003-1043 ag. numero: 1067-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
254,"SAO JOSE DA LAPA, MG",4384-2,"rua irmao galdino num 145 - padre gaspar 333500 - sao jose da lapa, mg tel: (31) 4003-1043 ag. numero: 4384-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
255,"SAO LOURENCO, MG",0152-0,"avenida pedro ii num 244 - centro 374700 - sao lourenco, mg tel: (35) 4003-1043 ag. numero: 0152-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
256,"SAO SEBASTIAO DO PARAISO, MG",0153-8,"praca comendador jose honorio num 99 - centro 379500 - sao sebastiao do paraiso, mg tel: (35) 4003-1043 ag. numero: 0153-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
257,"SARZEDO, MG",4344-3,"rua eduardo cozac num 59 - centro 324500 - sarzedo, mg tel: (31) 4003-1043 ag. numero: 4344-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
258,"CANAAN, MG",2475-9,"avenida raquel teixeira viana num 1085 - canaan 35700293 - sete lagoas, mg tel: (31) 4003-1043 ag. numero: 2475-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
259,"SERRA DE SANTA HELENA, MG",2031-1,"rua santa helena num 103 - canaa 35700285 - sete lagoas, mg tel: (31) 4003-1043 ag. numero: 2031-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
260,"SETE LAGOAS, MG",0154-6,"avenida mucio jose reis num 70 - centro 35700640 - sete lagoas, mg tel: (31) 4003-1043 ag. numero: 0154-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
261,"TAIOBEIRAS, MG",3411-8,"avenida amazonas num 475 - centro 395500 - taiobeiras, mg tel: (38) 4003-1043 ag. numero: 3411-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
262,"TEOFILO OTONI, MG",0155-4,"rua engenheiro antunes num 222 - centro 3980019 - teofilo otoni, mg tel: (33) 4003-1043 ag. numero: 0155-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
263,"VALE DO MUCURI, MG",3662-5,"avenida getulio vargas num 1126 - centro 3980015 - teofilo otoni, mg tel: (33) 4003-1043 ag. numero: 3662-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
264,"ACESITA, MG",2296-9,"rua trinta e um de marco num 152 - centro 3518028 - timoteo, mg tel: (31) 4003-1043 ag. numero: 2296-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
