,Nome,CGC,Endereco
128,"GUARATIBA, RJ",4946-8,"estrada da matriz lote 07 - guaratiba 23020715 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4946-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
129,"HADDOCK LOBO, RJ",4062-2,"rua haddock lobo num 407 - tijuca 20260141 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4062-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
130,"INHANGA, RJ",0217-8,"avenida nossa senhora de copacabana num 427 a - copacabana 220202 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0217-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
131,"INHAUMA, RJ",1095-2,"rua padre januario num 42/44 - inhauma 20765140 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1095-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
132,"IPANEMA, RJ",0588-6,"rua visconde de piraja num 127 - ipanema 224101 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0588-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
133,"JACAREPAGUA, RJ",1024-3,"rua apiacas num 200 - taquara 22730190 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1024-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
134,"JARDIM BOTANICO, RJ",2270-5,"rua jardim botanico num 613 - jardim botanico 2247050 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2270-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
135,"JARDIM DO MEIER, RJ",4147-5,"rua arquias cordeiro num 288 - meier 207700 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4147-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
136,"JARDIM OCEANICO, RJ",4043-6,"avenida olegario maciel num 543 - barra da tijuca 22621200 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4043-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
137,"JORNALISTA ROBERTO MARINHO, RJ",3111-9,"estrada dos bandeirantes num 1430 - taquara 22710112 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3111-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
138,"JT RIO DE JANEIRO, RJ",2890-8,"rua do lavradio num 98 - centro 2023070 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2890-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
139,"LARANJEIRAS, RJ",0211-9,"rua das laranjeiras num 43 - laranjeiras 222400 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0211-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
140,"LARGO DA CARIOCA, RJ",0198-8,"rua da carioca num 27,29,31,33 - centro 200508 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0198-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
141,"LARGO DA GLORIA, RJ",1776-0,"rua do catete num 54 - catete 222200 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1776-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
142,"LARGO DO BICAO, RJ",0990-3,"avenida meriti num 2207 - vila da penha 212117 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0990-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
143,"LEBLON, RJ",0218-6,"rua joao lira num 84 - leblon 22430210 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0218-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
144,"LEME, RJ",0573-8,"rua antonio vieira num 24 - leme 22010100 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0573-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
145,"LEOPOLDINENSE, RJ",3590-4,"rua cardoso de morais num 251 - bonsucesso 210320 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3590-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
146,"LINO TEIXEIRA, RJ",1027-8,"rua lino teixeira num 256/254 - jacare 209707 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1027-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
147,"MADUREIRA SHOPPING, RJ",3057-0,"estrada do portela num 222 - madureira 2135150 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3057-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
148,"MADUREIRA, RJ",0219-4,"rua carvalho de sousa num 283 - madureira 21350180 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0219-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
149,"MEIER, RJ",0221-6,"rua dias da cruz num 28 a - meier 2072012 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0221-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
150,"NEW YORK CITY CENTER, RJ",2905-0,"avenida das americas num 5000 - barra da tijuca 22640102 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2905-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
151,"NORTE SHOPPING, RJ",3146-1,"avenida dom helder camara num 5474 - del castilho 207714 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3146-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
152,"NOSSA SENHORA DA PAZ, RJ",1326-9,"rua visconde de piraja num 357 - ipanema 224103 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1326-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
153,"NOVA AMERICA, RJ",4515-2,"avenida pastor martin luther king jr num 126 - del castilho 20765971 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4515-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
154,"OPEN MALL, RJ",4749-0,"avenida das americas num 7907 - barra da tijuca 2279381 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4749-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
155,"PACO IMPERIAL, RJ",3223-9,"rua sete de setembro num 36 e 38 - centro 200509 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3223-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
156,"PARQUE DE MARAPENDI, RJ",3637-4,"avenida das americas num 13721 - recreio dos bandeirantes 22790701 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3637-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
157,"PAVUNA, RJ",1094-4,"avenida sargento de milicias num 265 - pavuna 21532290 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1094-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
158,"PECHINCHA, RJ",3105-4,"estrada pau-ferro num 74 - jacarepagua 2274351 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3105-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
159,"PENHA, RJ",0224-0,"avenida bras de pina num 02 - penha 2107032 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0224-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
160,"PEQUENA AFRICA, RJ",4838-0,"avenida barao de tefe num 7 - centro 20220460 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4838-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
161,"PEREIRA PASSOS, RJ",3093-7,"avenida rio branco num 138 - centro 200402 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3093-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
162,"PILARES, RJ",0225-9,"avenida dom helder camara num 5795 - pilares 207711 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0225-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
163,"PIO X, RJ",2915-7,"rua presidente vargas num 309-a - centro 200713 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2915-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
164,"PRACA JAURU, RJ",0537-1,"estrada do tindiba num 2941 - jacarepagua 22725421 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0537-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
165,"PRACA MAUA, RJ",2956-4,"avenida rio branco num 1 - centro 200903 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2956-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
166,"PRACA SECA, RJ",1707-8,"praca seca num 7 - praca seca 2132110 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1707-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
167,"PRAIA DE BOTAFOGO, RJ",3307-3,"rua farani num 4 - botafogo 2223120 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3307-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
168,"PRESIDENTE VARGAS, RJ",2387-6,"rua da alfandega num 214 - centro 200706 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2387-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
169,"RAMOS, RJ",1025-1,"rua euclides faria num 27 - ramos 21060100 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1025-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
170,"REALENGO, RJ",0680-7,"avenida de santa cruz num 1215 - realengo 21710231 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0680-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
171,"RECREIO DOS BANDEIRANTES, RJ",4148-3,"avenida das americas num 15545 - recreio dos bandeirantes 22790701 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4148-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
172,"RECREIO SHOPPING, RJ",4203-0,"avenida das americas num 19019 - recreio dos bandeirantes 22790703 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4203-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
173,"RIACHUELO, RJ",0995-4,"rua riachuelo num 61 - centro 2023014 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0995-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
174,"RIO COMPRIDO, RJ",2247-0,"rua do bispo num 29 a - rio comprido 2026163 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2247-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
175,"RIO DE JANEIRO, RJ",0542-8,"avenida rio branco num 125 - centro 200406 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0542-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
176,"RIO DO A, RJ",3358-8,"estrada rio do a num 1131 - campo grande 23080300 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3358-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
177,"RIO OESTE, RJ",4087-8,"estrada do mendanha num 256 - campo grande 23087284 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4087-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
178,"RIO SUL, RJ",0545-2,"avenida lauro sodre num 445 - botafogo 2229070 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0545-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
179,"ROCHA MIRANDA, RJ",0673-4,"avenida dos italianos num 375 - rocha miranda 21510102 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0673-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
180,"ROSARIO, RJ",2834-7,"rua do rosario num 103 - centro 200414 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2834-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
181,"RUA AMARAL COSTA, RJ",2955-6,"rua amaral costa num 311 - campo grande 23050260 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2955-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
182,"RUA AUGUSTO DE VASCONCELOS, RJ",4945-0,"rua augusto de vasconcelos num 1307,1309,1325 - campo grande 23045120 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4945-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
183,"RUA DE SANTANA, RJ",3613-7,"rua de santana num 138 - centro 20230261 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3613-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
184,"RUA NELSON MANDELA, RJ",1343-9,"rua nelson mandela num 100 - botafogo 222605 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1343-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
185,"SAENS PENA, RJ",0228-3,"rua conde de bonfim num 302 - tijuca 2052054 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0228-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
186,"SANTA CRUZ, RJ",0229-1,"rua felipe cardoso num 581 - santa cruz 235106 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0229-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
187,"SAO CRISTOVAO, RJ",0232-1,"rua sao cristovao num 670 - sao cristovao 209401 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0232-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
188,"SEPETIBA, RJ",2376-0,"estrada de sepetiba num 5566 - sepetiba 235453 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2376-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
189,"SHOPPING BOULEVARD RIO, RJ",3187-9,"rua barao de sao francisco num 236 - andarai 20560904 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3187-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
190,"SHOPPING CENTER TIJUCA, RJ",1650-0,"avenida maracana num 987 - tijuca 205110 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1650-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
191,"SHOPPING VIA BRASIL, RJ",1330-7,"rua itapera num 500 - iraja 21230500 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1330-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
192,"TELEPORTO, RJ",4064-9,"rua afonso cavalcanti num 33 - cidade nova 20211110 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4064-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
193,"TINDIBA, RJ",2324-8,"estrada do tindiba num 1645 - pechincha 22740361 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2324-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
194,"TIRADENTES, RJ",3072-4,"praca tiradentes num 46 - centro 2006070 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3072-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
195,"TORRE ALMIRANTE, RJ",3073-2,"avenida graca aranha num 327/333 - centro 200303 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3073-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
196,"URCA, RJ",0226-7,"rua marechal cantuaria num 174 - urca 2229160 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0226-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
197,"URUGUAI, RJ",4836-4,"rua uruguai num 255 - andarai 2051061 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4836-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
198,"VILA DA PENHA, RJ",0544-4,"avenida vicente de carvalho num 1490 - a - penha circular 21210154 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0544-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
199,"VILA ISABEL, RJ",0233-0,"avenida vinte e oito de setembro num 264 - vila isabel 2055131 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0233-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
200,"VILA KOSMOS, RJ",4706-6,"avenida vicente de carvalho num 995/997 - vila da penha 21210623 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4706-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
201,"VILA VALQUEIRE, RJ",4086-0,"estrada intendente magalhaes num 884 - vila valqueire 21331720 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4086-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
202,"SANTO ANTONIO DE PADUA, RJ",0191-0,"rua conselheiro paulino num 43 - centro 284700 - santo antonio de padua, rj tel: (22) 4003-1043 ag. numero: 0191-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
203,"SAO FIDELIS, RJ",0192-9,"avenida sete de setembro num 236 - centro 284000 - sao fidelis, rj tel: (22) 4003-1043 ag. numero: 0192-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
204,"SAO FRANCISCO DO ITABAPOANA, RJ",1331-5,"avenida vereador edenites da silva viana num 103 - centro 282300 - sao francisco de itabapoana, rj tel: (22) 4003-1043 ag. numero: 1331-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
205,"ALCANTARA, RJ",0889-3,"rua doutor alfredo backer num 536 - alcantara 244525 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 0889-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
206,"BAIRRO PARAISO, RJ",4161-0,"rua comandante ari parreiras num 2506 - paraiso 24426470 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 4161-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
207,"NOVA CIDADE, RJ",4978-6,"rua doutor nilo pecanha num 1026 - nova cidade 24445360 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 4978-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
208,"PRACA ZE GAROTO, RJ",4143-2,"rua coronel moreira cesar num 35 - centro 24440400 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 4143-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
209,"RAUL VEIGA, RJ",3594-7,"estrada raul veiga num 424 - alcantara 2473060 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 3594-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
210,"SAO GONCALO, RJ",0194-5,"rua doutor nilo pecanha num 125 - centro 24445360 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 0194-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
211,"SHOPPING SAO GONCALO, RJ",3028-7,"avenida sao goncalo num 100 - boa vista 24466315 - sao goncalo, rj tel: (21) 4003-1043 ag. numero: 3028-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
212,"SAO JOAO DA BARRA, RJ",3573-4,"avenida rotary num 383 - centro 282000 - sao joao da barra, rj tel: (22) 4003-1043 ag. numero: 3573-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
213,"PRACA DA MATRIZ, RJ",4761-9,"rua gessyr goncalves fontes num 126 - centro 25520570 - sao joao de meriti, rj tel: (21) 4003-1043 ag. numero: 4761-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
214,"SAO JOAO DE MERITI, RJ",0190-2,"avenida getulio de moura num 60 - centro 25520662 - sao joao de meriti, rj tel: (21) 4003-1043 ag. numero: 0190-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
215,"VILAR DOS TELES, RJ",4149-1,"avenida automovel clube num 2384 - jardim jose bonifacio 25565172 - sao joao de meriti, rj tel: (21) 4003-1043 ag. numero: 4149-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
216,"SAO PEDRO DA ALDEIA, RJ",1243-2,"rua adolfo silveira num 125 - centro 28941172 - sao pedro da aldeia, rj tel: (22) 4003-1043 ag. numero: 1243-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
217,"SAPUCAIA, RJ",2072-9,"rua mauricio de abreu num 07 - centro 258800 - sapucaia, rj tel: (24) 4003-1043 ag. numero: 2072-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
218,"SAQUAREMA, RJ",1332-3,"rua professor francisco fonseca num 366 - bacaxa (bacaxa) 28994795 - saquarema, rj tel: (22) 4003-1043 ag. numero: 1332-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
219,"SEROPEDICA, RJ",3071-6,"avenida ministro fernando costa num 1000 - boa esperanca 23894358 - seropedica, rj tel: (21) 4003-1043 ag. numero: 3071-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
220,"TANGUA, RJ",4872-0,"rua athaide salatiel de velasco num 50 - centro 248900 - tangua, rj tel: (21) 4003-1043 ag. numero: 4872-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
221,"AVENIDA FELICIANO SODRE, RJ",4650-7,"avenida feliciano sodre num 90 - varzea 2596381 - teresopolis, rj tel: (21) 4003-1043 ag. numero: 4650-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
222,"TERESOPOLIS, RJ",0193-7,"avenida delfim moreira num 686 - varzea 25953236 - teresopolis, rj tel: (21) 4003-1043 ag. numero: 0193-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
223,"TRES RIOS, RJ",0195-3,"rua quinze de novembro num 362 - centro 258040 - tres rios, rj tel: (24) 4003-1043 ag. numero: 0195-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
224,"VILA, RJ",1800-7,"rua joaquim pinto portela num 118 - vila isabel 25812464 - tres rios, rj tel: (24) 4003-1043 ag. numero: 1800-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
225,"VALENCA, RJ",0945-8,"praca visconde do rio preto num 222 - centro 276000 - valenca, rj tel: (24) 4003-1043 ag. numero: 0945-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
226,"VASSOURAS, RJ",0196-1,"avenida exp oswaldo almeida ramos num 155 - centro 277000 - vassouras, rj tel: (24) 4003-1043 ag. numero: 0196-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
227,"ATERRADO, RJ",4375-3,"avenida paulo de frontin num 90 - aterrado 27213150 - volta redonda, rj tel: (24) 4003-1043 ag. numero: 4375-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
228,"CIDADE DO ACO, RJ",1504-0,"avenida amaral peixoto num 858 - centro 27253223 - volta redonda, rj tel: (24) 4003-1043 ag. numero: 1504-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
229,"RETIRO, RJ",4018-5,"avenida savio cota de almeida gama num 1726 - retiro 27281422 - volta redonda, rj tel: (24) 4003-1043 ag. numero: 4018-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
230,"VOLTA REDONDA, RJ",0197-0,"rua general oswaldo pinto da veiga num 184 - vila santa cecilia 27260140 - volta redonda, rj tel: (24) 4003-1043 ag. numero: 0197-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
